source_name,target_name,aliases,pronouns_or_gender,role,status,notes
Norrec Vizharan,諾瑞克‧維茲哈蘭,Norrec,he/him,退役軍人與傭兵,approved,諾瑞克沿用既有台灣版宣傳譯名；姓氏採一致音譯。
Sadun Tryst,薩敦‧崔斯特,Sadun,he/him,諾瑞克的戰友與傭兵,approved,本次新版試譯採用的一致音譯。
Fauztin,佛斯汀,,he/him,費斯傑利法師與諾瑞克的戰友,approved,本次新版試譯採用的一致音譯。
Augustus Malevolyn,奧古斯都‧馬勒沃林,"Malevolyn; General Malevolyn",he/him,野心勃勃的將軍,approved,小說原創角色；採台灣繁中一致音譯。
Galeona,蓋莉歐娜,,she/her,馬勒沃林的女法師與情婦,approved,小說原創角色；採台灣繁中一致音譯。
Xazax,薩薩克斯,,he/him,與蓋莉歐娜締約的螳螂形惡魔,approved,小說原創角色；採台灣繁中一致音譯。
Kara Nightshadow,卡菈‧夜影,Kara,she/her,拉斯瑪祭司與死靈法師,approved,小說原創角色；名字採台灣繁中音譯，姓氏保留語義意象。
Captain Casco,卡斯科船長,Casco,he/him,鷹火號船長,approved,小說原創角色；採台灣繁中一致音譯。
Hanos Jeronnan,漢諾斯‧傑羅南,"Jeronnan; Captain Jeronnan",he/him,吉庫爾旅店「船長餐桌」的店主與前海軍軍官,approved,小說原創角色；採台灣繁中一致音譯。
Terania,特拉妮亞,,she/her,漢諾斯‧傑羅南已故的女兒,approved,小說原創角色；採台灣繁中一致音譯。
Captain Tolos,托洛斯隊長,Tolos,he/him,馬勒沃林麾下軍官與蓋莉歐娜儀式的祭品,approved,小說原創角色；採台灣繁中一致音譯。
Mister Drayko,德萊科先生,Drayko,he/him,國王之盾號大副與傑羅南的副手,approved,小說原創角色；採台灣繁中一致音譯。
Kalkos,卡爾科斯,,he/him,鷹火號棄船後死於救生艇的水手,approved,小說原創角色；採台灣繁中一致音譯。
Bragga,布拉加,,he/him,與卡爾科斯同乘救生艇的鷹火號水手,approved,小說原創角色；採台灣繁中一致音譯。
Pietr,皮耶特,,he/him,鷹火號水手與另一艘救生艇的相關人物,approved,小說原創角色；採台灣繁中一致音譯。
